company_name,high,low,last_price,prev_close,change,percent_gain
Titan Company,"1,854.95","1,777.15","1,840.20","1,771.55",68.65,3.88
HDFC,"2,560.00","2,476.00","2,554.65","2,462.05",92.6,3.76
IndusInd Bank,"1,025.00",986.65,"1,022.05",988.00,34.05,3.45
Nestle,"18,380.00","17,654.00","18,284.10","17,714.65",569.45,3.21
SBI,447.90,433.60,446.50,434.90,11.6,2.67
Bharti Airtel,582.00,562.10,580.20,565.15,15.05,2.66
UltraTechCement,"7,867.25","7,608.40","7,843.25","7,642.05",201.2,2.63
Sun Pharma,804.35,765.25,794.80,775.00,19.8,2.55
Axis Bank,740.85,719.30,738.60,721.15,17.45,2.42
HUL,"2,393.00","2,326.10","2,386.85","2,332.80",54.05,2.32
Tata Motors,304.50,297.70,303.70,296.85,6.85,2.31
SBI Life Insura,"1,134.90","1,094.80","1,131.70","1,107.20",24.5,2.21
Bajaj Finance,"6,342.00","6,206.00","6,331.90","6,200.50",131.4,2.12
TCS,"3,290.00","3,218.95","3,284.90","3,219.40",65.5,2.03
Power Grid Corp,175.20,171.10,174.45,171.00,3.45,2.02
Britannia,"3,579.00","3,531.00","3,573.20","3,504.65",68.55,1.96
Adani Ports,714.95,695.25,705.05,692.00,13.05,1.89
Eicher Motors,"2,654.90","2,587.10","2,649.30","2,602.60",46.7,1.79
Asian Paints,"3,065.00","2,994.20","3,027.00","2,974.05",52.95,1.78
M&M,772.70,755.50,770.85,757.70,13.15,1.74
Maruti Suzuki,"7,221.00","7,086.10","7,199.40","7,076.95",122.45,1.73
Divis Labs,"5,019.90","4,900.00","5,006.85","4,928.95",77.9,1.58
Infosys,"1,658.65","1,635.60","1,655.20","1,631.55",23.65,1.45
Hero Motocorp,"2,822.00","2,784.30","2,819.10","2,782.20",36.9,1.33
ICICI Bank,691.90,676.65,690.40,681.40,9,1.32
Tech Mahindra,"1,230.00","1,210.00","1,226.25","1,210.70",15.55,1.28
Larsen,"1,638.70","1,610.30","1,634.35","1,613.95",20.4,1.26
ITC,210.90,206.45,209.90,207.30,2.6,1.25
Kotak Mahindra,"1,689.25","1,665.00","1,685.65","1,665.10",20.55,1.23
BPCL,464.95,456.50,463.40,457.80,5.6,1.22
Wipro,604.00,594.15,599.40,592.25,7.15,1.21
Bajaj Finserv,"14,318.35","14,160.00","14,295.00","14,125.15",169.85,1.2
TATA Cons. Prod,770.75,759.55,767.65,759.55,8.1,1.07
HDFC Bank,"1,439.90","1,410.00","1,434.70","1,422.65",12.05,0.85
Cipla,929.55,918.50,928.15,921.05,7.1,0.77
Reliance,"2,091.00","2,064.20","2,087.75","2,072.50",15.25,0.74
ONGC,118.20,115.15,117.90,117.10,0.8,0.68
Hindalco,450.85,440.20,448.80,445.80,3,0.67
IOC,106.50,105.30,106.15,105.50,0.65,0.62
HDFC Life,675.00,666.60,673.80,670.35,3.45,0.51
Dr Reddys Labs,"4,729.45","4,691.70","4,721.70","4,701.55",20.15,0.43
HCL Tech,"1,042.95","1,024.00","1,039.45","1,035.40",4.05,0.39
Coal India,144.75,143.00,144.25,143.90,0.35,0.24
Grasim,"1,599.90","1,544.50","1,592.40","1,591.65",0.75,0.05
