company_name,high,low,last_price,prev_close,change,percent_gain
Raymond,793.60,671.00,782.15,680.25,101.90,14.98
Alok Industries,35.80,30.15,34.00,30.05,3.95,13.14
Rajesh Exports,994.70,845.05,950.95,850.35,100.60,11.83
MMTC Ltd,49.80,44.85,49.00,44.80,4.20,9.38
Adani Green Ene,"1,854.00","1,698.40","1,835.30","1,697.95",137.35,8.09
Jindal Saw,114.40,104.15,112.40,104.05,8.35,8.02
Guj Amb Exports,183.50,170.30,182.90,170.45,12.45,7.3
JK Paper,230.30,216.00,227.30,212.35,14.95,7.04
EIH,145.60,133.40,143.60,134.65,8.95,6.65
KPIT Tech,732.00,686.50,728.95,683.85,45.10,6.6
Intellect Desig,804.20,748.55,793.30,747.05,46.25,6.19
Sobha,988.00,917.00,969.55,913.70,55.85,6.11
Himadri Special,57.30,52.65,56.55,53.40,3.15,5.9
Gulf Oil Lubric,503.00,465.90,485.55,459.00,26.55,5.78
Greaves Cotton,251.65,231.65,241.75,228.80,12.95,5.66
Rail Vikas,39.30,36.50,38.40,36.35,2.05,5.64
SIS,467.95,437.00,463.85,440.05,23.80,5.41
Hero Motocorp,"2,724.45","2,591.45","2,701.50","2,569.70",131.80,5.13
Apollo Tyres,244.00,231.70,243.45,231.60,11.85,5.12
NLC India,70.50,66.50,69.65,66.30,3.35,5.05
Exide Ind,184.05,175.50,182.50,173.90,8.60,4.95
Trident,68.00,67.00,68.00,64.80,3.20,4.94
Suzlon Energy,12.80,12.40,12.80,12.20,0.60,4.92
HFCL,101.35,92.50,96.35,91.85,4.50,4.9
Vakrangee,44.00,40.90,42.75,40.80,1.95,4.78
DCM Shriram,"1,079.40","1,019.45","1,065.25","1,017.35",47.90,4.71
Brigade Ent,503.40,475.00,500.05,477.95,22.10,4.62
Minda Corp,205.70,193.10,200.85,192.60,8.25,4.28
ICICI Prudentia,621.00,591.00,615.65,591.10,24.55,4.15
GE Power India,266.95,252.85,262.90,252.85,10.05,3.97
Aegis Logistics,238.70,227.45,236.10,227.25,8.85,3.89
CCL Products,448.85,419.35,436.75,420.45,16.30,3.88
PCBL,252.95,244.25,251.60,242.45,9.15,3.77
Can Fin Homes,632.35,605.20,627.50,605.75,21.75,3.59
Supreme Ind,"2,338.00","2,230.15","2,297.75","2,219.55",78.20,3.52
Vaibhav Global,566.50,543.45,559.65,540.85,18.80,3.48
Grasim,"1,929.00","1,846.00","1,918.70","1,857.30",61.40,3.31
Honeywell Autom,"46,250.00","44,300.05","46,018.45","44,556.20","1,462.25",3.28
NFL,60.20,57.45,59.35,57.55,1.80,3.13
J. K. Cement,"3,646.45","3,493.00","3,600.00","3,492.10",107.90,3.09
GSFC,133.90,129.50,133.40,129.50,3.90,3.01
ONGC,168.20,162.30,165.85,161.05,4.80,2.98
Tata Motors,526.90,512.00,525.00,509.90,15.10,2.96
Amara Raja Batt,664.60,640.70,657.65,639.05,18.60,2.91
APL Apollo,965.85,935.00,964.15,937.00,27.15,2.9
LIC Housing Fin,392.35,378.10,389.50,378.90,10.60,2.8
AIA Engineering,"1,944.00","1,863.05","1,922.60","1,870.40",52.20,2.79
Angel One,"1,384.75","1,322.65","1,358.60","1,322.05",36.55,2.76
Mishra Dhatu Ni,190.00,182.70,187.70,182.70,5.00,2.74
UltraTechCement,"7,946.00","7,500.10","7,870.10","7,660.55",209.55,2.74
AAVAS Financier,"2,860.00","2,772.75","2,845.25","2,770.95",74.30,2.68
Dalmia Bharat,"2,104.15","2,010.00","2,066.70","2,012.85",53.85,2.68
Oil India,229.85,222.00,224.65,218.80,5.85,2.67
Aster DM Health,189.95,183.70,188.75,183.90,4.85,2.64
Sun Pharma Adv,332.80,311.85,321.00,312.75,8.25,2.64
Swan Energy,180.00,174.75,178.80,174.40,4.40,2.52
RHI Magnesita,438.50,422.65,430.05,419.50,10.55,2.51
Welspun Corp,197.00,191.00,195.15,190.40,4.75,2.49
TTK Prestige,"1,027.00",993.00,"1,020.30",995.65,24.65,2.48
Chola Invest.,604.80,587.00,600.70,586.20,14.50,2.47
JSW Steel,704.85,675.40,699.40,682.70,16.70,2.45
Coromandel Int,819.80,783.75,805.10,785.95,19.15,2.44
Capri Global,539.70,515.30,535.60,522.90,12.70,2.43
EngineersInd,73.60,70.95,72.70,71.00,1.70,2.39
Schaeffler Ind,"9,600.00","9,359.40","9,567.90","9,347.80",220.10,2.35
Hindustan Aeron,"1,417.45","1,358.70","1,396.85","1,365.65",31.20,2.28
Dixon Technolog,"5,410.00","5,255.00","5,388.10","5,268.35",119.75,2.27
Maruti Suzuki,"8,368.90","8,100.10","8,265.50","8,084.20",181.30,2.24
M&M,904.00,882.65,900.80,881.20,19.60,2.22
CreditAccess Gr,612.60,592.45,605.60,592.50,13.10,2.21
Castrol,128.30,125.95,128.05,125.30,2.75,2.19
IFB Industries,"1,234.00","1,169.65","1,200.75","1,175.40",25.35,2.16
Advanced Enzyme,341.00,333.65,339.60,332.45,7.15,2.15
KSB Pumps,"1,288.95","1,241.35","1,274.85","1,248.00",26.85,2.15
JK Lakshmi Cem,612.00,598.15,607.05,594.50,12.55,2.11
TML-D,267.50,260.45,265.10,259.65,5.45,2.1
Shipping Corp,143.90,138.60,142.15,139.25,2.90,2.08
Shoppers Stop,348.00,339.60,344.95,338.05,6.90,2.04
Bata India,"2,051.50","2,007.15","2,041.50","2,000.95",40.55,2.03
Network 18,92.25,89.00,91.40,89.60,1.80,2.01
Fine Organics,"3,842.75","3,702.70","3,807.20","3,733.30",73.90,1.98
Sterling Wilson,423.45,412.20,417.75,409.65,8.10,1.98
Hitachi Energy,"2,730.00","2,670.05","2,715.60","2,663.25",52.35,1.97
Mahindra Logist,724.10,707.45,720.40,706.45,13.95,1.97
Bombay Burmah,"1,136.00","1,100.30","1,121.50","1,100.30",21.20,1.93
SBI Life Insura,"1,293.25","1,256.30","1,287.95","1,263.60",24.35,1.93
Motilal Oswal,992.35,948.00,971.15,952.95,18.20,1.91
Sharda Crop,375.00,362.30,370.00,363.05,6.95,1.91
eClerx Services,"2,935.00","2,840.10","2,904.85","2,850.75",54.10,1.9
Bayer CropScien,"5,200.85","5,014.25","5,175.55","5,082.30",93.25,1.83
VIP Industries,608.80,585.55,596.85,586.20,10.65,1.82
Century,"1,023.90",985.45,"1,009.85",991.85,18.00,1.81
Avenue Supermar,"4,414.00","4,290.45","4,400.50","4,322.70",77.80,1.8
Westlife Dev,542.00,530.35,538.45,528.95,9.50,1.8
Cera Sanitary,"5,049.90","4,919.25","5,011.30","4,923.60",87.70,1.78
GMM Pfaudler,"5,120.00","4,981.45","5,076.85","4,990.25",86.60,1.74
Shree Cements,"27,936.75","26,654.50","27,545.35","27,078.45",466.90,1.72
JK Tyre & Ind,140.35,136.20,138.45,136.15,2.30,1.69
Thermax,"2,118.00","2,033.00","2,100.75","2,065.90",34.85,1.69
Jamna Auto,125.00,119.00,121.75,119.75,2.00,1.67
Bajaj Auto,"3,527.00","3,434.05","3,489.75","3,432.80",56.95,1.66
Ceat,"1,167.00","1,143.00","1,158.15","1,139.60",18.55,1.63
BASF,"3,279.90","3,150.00","3,195.55","3,144.95",50.60,1.61
JSW Energy,315.00,308.00,312.55,307.60,4.95,1.61
Prestige Estate,530.20,504.50,512.45,504.45,8.00,1.59
Prism Johnson,160.00,150.25,151.00,148.65,2.35,1.58
Bandhan Bank,303.75,296.15,301.20,296.55,4.65,1.57
Rallis India,289.40,281.45,287.00,282.55,4.45,1.57
DLF,425.00,413.20,423.80,417.35,6.45,1.55
Dhanuka Agritec,774.75,753.20,768.55,757.05,11.50,1.52
M&M Financial,168.50,164.75,167.40,164.90,2.50,1.52
Cummins,"1,009.20",986.00,"1,001.75",986.85,14.90,1.51
JM Financial,78.55,76.65,77.20,76.05,1.15,1.51
Atul,"10,723.00","10,400.05","10,663.45","10,506.55",156.90,1.49
Varun Beverages,951.00,913.70,942.50,928.65,13.85,1.49
Symphony,"1,089.00","1,069.15","1,077.45","1,061.70",15.75,1.48
Blue Star,"1,053.35","1,032.20","1,049.90","1,034.70",15.20,1.47
Zensar Tech,484.40,473.00,480.90,474.00,6.90,1.46
